title,rating,reviews,type,address,phone,website,latitude,longitude,dine_in,drive_through,no_contact_delivery,city
",مطعم نور الرافدين لتقديم الوجباتNoor Al Rafidin Restaurant,",4.5,4,Fast food restaurant,"6360 Cooperative Council Rd, Al Thawn, Al Khobar 34632, Saudi Arabia",+966 50 107 9522,,26.2176661,50.1850488,,,,Khobar
017 Cafe,4.3,126,restaurants,Dammam Corniche,,,26.4520807,50.1303101,,,,Dammam
1/2 Balady,4.4,15,restaurants,Jubail Industrial City,,,26.9894568,49.6516392,,,,Jubail
10 JUNE,5.0,3,restaurants,Dammam Corniche,,,26.2977638,50.2115437,,,,Dammam
2 LINES,4.5,78,restaurants,Al Khobar Promenade,,,26.3947219,50.0863051,,,,Khobar
204 North Kitchen and Cocktails,4.3,1041,American restaurant,"204 N Tryon St, Charlotte, NC 28202",(704) 333-3747,http://204north.com/,35.2279868,-80.84155179999999,true,false,false,Khafji
22 Coffee,4.5,91,restaurants,Prince Mohammed Bin Fahd University,,,26.378085,50.103728,,,,Khobar
3 JUICE,0.0,0,restaurants,Dhahran Sports Club,,,26.2874427,50.21187279999999,,,,Dhahran
3 gram,4.7,22,restaurants,Al Khobar Promenade,,,26.3941807,50.07888799999999,,,,Khobar
30 Days Cafe,0.0,0,restaurants,Al Bayoniya Area,,,26.415049,50.108174,,,,Khobar
300 East,4.5,1738,American restaurant,"300 East Blvd, Charlotte, NC 28203",(704) 332-6507,http://300east.net/,35.2106234,-80.8566349,true,false,false,Khafji
3K Chocolate,5.0,1,restaurants,Al Bayoniya Area,,,26.4382679,50.11542479999999,,,,Khobar
3nd ALKOSHK,4.4,8,restaurants,Tamimi Markets Khobar,,,26.28761470541316,50.2099620635073,,,,Khobar
4izza,4.3,39,restaurants,Downtown Jubail Area,,,27.1312932,49.5588016,,,,Jubail
5.SEEDS COFFE,4.7,15,restaurants,Dammam Corniche,,,26.43493380791389,50.1268548116566,,,,Dammam
5×5,0.0,0,restaurants,Dammam Corniche,,,26.4212562,50.0910971,,,,Dammam
5×5,0.0,0,restaurants,Aramco Residential Compound,,,26.28244,50.1975085,,,,Dhahran
60 Grams,4.7,55,restaurants,Dhahran Sports Club,,,26.33145999545004,50.16255210891293,,,,Dhahran
65 Degrees Coffee,0.0,0,restaurants,Dhahran Sports Club,,,26.3342249,50.1887726,,,,Dhahran
7 Degrees,4.1,7,restaurants,Al Khobar Gate,,,26.33031704197512,50.21288393384852,,,,Khobar
7 Grams,4.6,302,restaurants,Al Waha District,,,26.451105,50.130984,,,,Dammam
7 Grams,4.7,139,restaurants,Dhahran Mall,,,26.290863,50.180914,,,,Dhahran
7 Juice,3.9,7,restaurants,Al Bayoniya Area,,,26.20604605207768,50.20886396745912,,,,Khobar
7 Seas Biriyani,3.5,31,restaurants,Jubail Industrial City,,,26.9884932,49.6573468,,,,Jubail
7 Seas Restaurant,4.1,27,Restaurant,"Saud Bin Jalawi Street, Al Dakhal Al Mahdud Subdivision, Al Jubail 35513, Saudi Arabia",+966 55 193 8248,,26.9883409,49.6573415,true,false,false,Jubail
88 PORT,4.3,292,restaurants,Al Waha District,,,26.369929,50.0573723,,,,Dammam
88 Seconds Pizza,4.5,243,restaurants,Central Dammam Al Danah,,,26.399661,50.0453658,,,,Dammam
8OZ Specialty Coffee,4.4,251,restaurants,King Fahd Park Dammam,,,26.372798,50.099532,,,,Dammam
8OZ Specialty Coffee,4.9,10,restaurants,Prince Mohammed Bin Fahd University,,,26.382671,50.178101,,,,Khobar
8pot,4.4,185,restaurants,Al Khobar Promenade,,,26.3981452,50.0466668,,,,Khobar
90`s Broasted,3.7,146,restaurants,King Fahd Park Dammam,,,26.3851925,50.10444057420502,,,,Dammam
9Eleven Burger,4.3,51,restaurants,Central Dammam Al Danah,,,26.3773073,50.0607623,,,,Dammam
A Cuppa,5.0,6,restaurants,Al Khobar Gate,,,26.30335785620823,50.22374760982169,,,,Khobar
A PLUS,4.7,294,restaurants,Dhahran Sports Club,,,26.29956,50.1739972,,,,Dhahran
ABC DOUNUTS,4.6,41,restaurants,Prince Mohammed Bin Fahd University,,,26.3946684,50.086357,,,,Khobar
ADAM COFFEE,3.6,12,restaurants,King Fahd Park Dammam,,,26.37052611323818,50.05765182432862,,,,Dammam
AGHA KUNAFA,4.5,105,restaurants,Central Dammam Al Danah,,,26.40939,50.0578308,,,,Dammam
AGHATTI,4.4,39,restaurants,Al Khobar Gate,,,26.31813730570014,50.20347013254089,,,,Khobar
AJ Burger,0.0,0,restaurants,Central Khobar Area,,,26.3089375,50.2150625,,,,Khobar
